H 10 m,,,,,,,,,,,,,,
G/V Degree,-,30.0,35.0,37.5,40.0,45.0,50.0,55.0,60.0,65.0,70.0,,,
Discharge,m3/s,0.3,0.38,0.0,0.43,0.45,0.51,0.52,0.52,0.53,0.55,,,
Generator power,kW,7.7,14.5,0.0,28.7,36.2,37.7,37.1,38.7,39.8,38.1,,,
H,m,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,
Mechanical power,kW,8.555555555555555,16.11111111111111,0.0,31.888888888888886,40.22222222222222,41.88888888888889,41.22222222222222,43.0,44.22222222222222,42.333333333333336,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
H 12 m,,,,,,,,,,,,,,
G/V Degree,-,30.0,35.0,37.5,40.0,45.0,50.0,55.0,60.0,65.0,70.0,,,
Discharge,m3/s,0.3,0.38,0.0,0.43,0.45,0.51,0.52,0.52,0.53,0.55,,,
Generator power,kW,13.8,22.2,0.0,35.9,44.5,46.1,45.4,47.0,48.2,46.5,,,
H,m,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,,
Mechanical power,kW,15.333333333333334,24.666666666666668,0.0,39.888888888888886,49.44444444444444,51.22222222222222,50.44444444444444,52.22222222222222,53.55555555555556,51.666666666666664,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
H 14 m,,,,,,,,,,,,,,
G/V Degree,-,30.0,35.0,37.5,40.0,45.0,50.0,55.0,60.0,65.0,70.0,,,
Discharge,m3/s,0.3,0.38,0.0,0.43,0.45,0.51,0.52,0.52,0.53,0.55,,,
Generator power,kW,20.0,30.0,0.0,43.0,52.9,54.6,53.8,55.5,56.8,55.1,,,
H,m,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,,,
Mechanical power,kW,22.22222222222222,33.333333333333336,0.0,47.77777777777778,58.77777777777778,60.666666666666664,59.77777777777778,61.666666666666664,63.11111111111111,61.22222222222222,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
H 15 m,,,,,,,,,,,,,,
G/V Degree,-,30.0,35.0,37.5,40.0,45.0,50.0,55.0,60.0,65.0,70.0,,,
Discharge,m3/s,0.3,0.38,0.0,0.43,0.45,0.51,0.52,0.52,0.53,0.55,,,
Generator power,kW,23.1,33.9,0.0,46.9,57.1,59.0,58.1,59.9,61.3,59.5,,,
H,m,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,
Mechanical power,kW,25.666666666666668,37.666666666666664,0.0,52.11111111111111,63.44444444444444,65.55555555555556,64.55555555555556,66.55555555555556,68.11111111111111,66.11111111111111,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
H 16 m,,,,,,,,,,,,,,
G/V Degree,-,30.0,35.0,37.5,40.0,45.0,50.0,55.0,60.0,65.0,70.0,,,
Discharge,m3/s,0.3,0.38,0.0,0.43,0.45,0.51,0.52,0.52,0.53,0.55,,,
Generator power,kW,26.2,37.9,0.0,50.8,61.3,63.3,62.3,64.3,65.7,63.9,,,
H,m,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,,
Mechanical power,kW,29.11111111111111,42.11111111111111,0.0,56.44444444444444,68.11111111111111,70.33333333333333,69.22222222222223,71.44444444444444,73.0,71.0,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
H 17 m,,,,,,,,,,,,,,
G/V Degree,-,30.0,35.0,37.5,40.0,45.0,50.0,55.0,60.0,65.0,70.0,,,
Discharge,m3/s,0.3,0.38,0.0,0.43,0.45,0.51,0.52,0.52,0.53,0.55,,,
Generator power,kW,29.3,41.8,0.0,54.7,65.5,67.6,66.5,68.6,70.1,68.2,,,
H,m,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,,,
Mechanical power,kW,32.55555555555556,46.44444444444444,0.0,60.77777777777778,72.77777777777777,75.11111111111111,73.88888888888889,76.22222222222223,77.88888888888889,75.77777777777777,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
H 18 m,,,,,,,,,,,,,,
G/V Degree,-,30.0,35.0,37.5,40.0,45.0,50.0,55.0,60.0,65.0,70.0,,,
Discharge,m3/s,0.3,0.38,0.0,0.43,0.45,0.51,0.52,0.52,0.53,0.55,,,
Generator power,kW,32.4,45.7,0.0,58.6,69.7,71.9,70.7,72.9,74.5,72.5,,,
H,m,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,,
Mechanical power,kW,36.0,50.77777777777778,0.0,65.11111111111111,77.44444444444444,79.88888888888889,78.55555555555556,81.0,82.77777777777777,80.55555555555556,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
H 19 m,,,,,,,,,,,,,,
G/V Degree,-,30.0,35.0,37.5,40.0,45.0,50.0,55.0,60.0,65.0,70.0,,,
Discharge,m3/s,0.3,0.38,0.0,0.43,0.45,0.51,0.52,0.52,0.53,0.55,,,
Generator power,kW,35.6,49.7,0.0,62.5,73.9,76.2,74.9,77.2,78.9,76.8,,,
H,m,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,,,
Mechanical power,kW,39.55555555555556,55.22222222222222,0.0,69.44444444444444,82.11111111111111,84.66666666666667,83.22222222222223,85.77777777777777,87.66666666666667,85.33333333333333,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
H 17 m,,,,,,,,,,,,,,
G/V Degree,-,30.0,35.0,37.5,40.0,45.0,50.0,55.0,60.0,65.0,70.0,,,
Discharge,m3/s,0.3,0.38,0.0,0.43,0.45,0.51,0.52,0.52,0.53,0.55,,,
Generator power,kW,29.3,41.8,0.0,54.7,65.5,67.6,66.5,68.6,70.1,68.2,,,
H,m,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,,,
Mechanical power,kW,32.55555555555556,46.44444444444444,0.0,60.77777777777778,72.77777777777777,75.11111111111111,73.88888888888889,76.22222222222223,77.88888888888889,75.77777777777777,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"4 blade,12G30 R40,scale0.9 bulb800 ",0.4,12.0,800.0,0.8,1000.0,808.998,10738.29,83.85698424905814,,120000.0,1236.439,101.9984,0.8385698424905814
"4 blade,12G30 R40,scale0.9 bulb800 ",0.4,13.0,826.54,0.82654,1000.0,879.138,11762.33,91.31012351786221,,130000.0,2046.222,109.38072,0.8408471039806322
"4 blade,12G30 R40,scale0.9 bulb800 ",0.4,14.0,851.88,0.85188,1000.0,948.6,12359.29,99.33715970650925,,137340.0,2972.773,116.99719920000001,0.8490558781385704
"4 blade,12G30 R40,scale0.9 bulb800 ",0.4,15.0,877.6,0.8776,1000.0,1037.982,13306.18,108.69722085861467,,147150.0,3846.274,129.13884000000002,0.8417082022621131
"4 blade,12G30 R40,scale0.9 bulb800 ",0.4,16.0,901.47,0.90147,1000.0,1127.748,14242.34,118.09749439668607,,156960.0,4662.651,141.332304,0.8356163013850005
"4 blade,12G30 R40,scale0.9 bulb800 ",0.4,17.0,924.38,0.92438,1000.0,1219.032,15175.7,127.46162312643534,,166810.0,5515.659,153.640248,0.8290482960080373
"4 blade,12G30 R40,scale0.9 bulb800 ",0.4,18.0,946.08,0.94608,1000.0,1310.208,16102.32,136.7029367425121,,176640.0,6388.932,165.98688,0.8235223894127236
"4 blade,12G30 R40,scale0.9 bulb800 ",0.4,19.0,966.83,0.96683,1000.0,1401.816,17025.26,145.83416973347514,,186470.0,7272.502,178.431288,0.817887375123201
,,,,,,,,,,,,,,
