G/V degree,Dischargem,Generator power,Mechanical power,Overall Eff,Mech Eff,Head,Predicted_Eff,Prediction_Error
50.0,0.9174,85.435,94.92777777777778,0.6362923806048666,0.7089210132156885,15.0,0.6362926610057983,2.804009316959011e-07
70.0,1.1113,114.126,126.80666666666669,0.497457497866771,0.554239032509256,21.0,0.4974575679745511,7.01077800813188e-08
35.0,0.8109,94.013,104.4588888888889,0.6889154815367894,0.7675506985118522,17.0,0.6889162285810475,7.470442581203329e-07
35.0,0.7911,80.094,88.99333333333333,0.6788221627728875,0.7563052931244545,15.0,0.6788237151169562,1.552344068622702e-06
37.5,0.8551,104.8,116.44444444444444,0.6800934257610393,0.7577216625060387,18.0,0.680091698074679,1.7276863603088444e-06
55.0,1.0231,118.461,131.6233333333333,0.5944871508929528,0.6623439887086346,20.0,0.5944870867521008,6.414085196304598e-08
37.5,0.8185,91.513,101.68111111111112,0.6973316950956769,0.7769275680540183,16.0,0.6973331112244066,1.4161287296143854e-06
65.0,1.0434,98.619,109.57666666666668,0.5371861970374224,0.5985025040331896,18.0,0.5371862295665895,3.252916702667363e-08
45.0,0.8844,94.355,104.83888888888887,0.6740325963007485,0.7509690288223972,16.0,0.674032462879491,1.3342125748661005e-07
35.0,0.8562,117.361,130.4011111111111,0.65890508837461,0.7341148143554065,21.0,0.658905300212693,2.1183808296409978e-07
40.0,0.8368,84.513,93.90333333333334,0.6773261190365746,0.7546384857357602,15.0,0.6773288529967804,2.733960205780761e-06
40.0,0.914,126.881,140.9788888888889,0.6415478290291314,0.714776336861543,22.0,0.6415478205003162,8.52881520962967e-09
40.0,0.8368,91.803,102.00333333333332,0.6926470770753682,0.7717082313862924,16.0,0.6926455279333975,1.54914197070255e-06
37.5,0.8453,97.858,108.73111111111112,0.6839140023740009,0.7619783330651835,17.0,0.6839138280096575,1.743643434082287e-07
35.0,0.7911,86.929,96.58777777777776,0.6967346094536299,0.776262328973308,16.0,0.6967332987165473,1.3107370825382603e-06
45.0,0.9342,113.96,126.6222222222222,0.6510369762474271,0.7253486084549133,19.0,0.6510370160484481,3.980102103451344e-08
35.0,0.8355,107.265,119.18333333333334,0.6769398233909206,0.7542080969571653,19.0,0.6769394825409871,3.4084993350003145e-07
40.0,0.8624,99.016,110.01777777777778,0.6792738030155272,0.7568084851603495,17.0,0.6792748795719061,1.0765563789316701e-06
35.0,0.8234,99.9,111.0,0.6827499305477492,0.7606813900187531,18.0,0.6827501552545364,2.247067871774533e-07
37.5,0.8185,84.545,93.93888888888888,0.6852972340821294,0.7635194516671481,15.0,0.6852939911873964,3.242894732968793e-06
37.5,0.8661,109.887,122.09666666666666,0.6723590823689712,0.7491044941708612,19.0,0.6723610747146209,1.9923456496817593e-06
45.0,0.9165,102.681,114.09,0.6591401552984903,0.7343767126382246,17.0,0.6591400994064354,5.589205498424121e-08
40.0,0.8756,106.3,118.1111111111111,0.6743597939565726,0.7513335739603856,18.0,0.6743603889866326,5.950300600021663e-07
35.0,0.8438,112.432,124.92444444444445,0.6698667413826517,0.7463276686875495,20.0,0.6698667522673064,1.088465473308986e-08
40.0,0.8838,112.032,124.48,0.6710401355159722,0.7476349981217071,19.0,0.6710388749960564,1.2605199157800229e-06
40.0,0.8954,116.868,129.85333333333332,0.6607716625426798,0.7361944458122731,20.0,0.6607722700276086,6.074849288051354e-07
50.0,0.9174,93.329,103.69888888888887,0.6474481321274831,0.7213501211441502,16.0,0.6474481074514238,2.4676059307005005e-08
37.5,0.8733,115.084,127.8711111111111,0.666211696980224,0.7422554247630596,20.0,0.6662107763932013,9.205870227235735e-07
45.0,0.8844,87.597,97.32999999999998,0.6634805272415597,0.7392125097802379,15.0,0.6634798743556163,6.528859434196121e-07
35.0,0.8641,121.945,135.49444444444444,0.6500307058342221,0.7242274788254497,22.0,0.6500306638102996,4.2023922453005014e-08
