G/V degree,Dischargem,Generator power,Mechanical power,Overall Eff,Mech Eff
30.0,0.3,7.7,8.555555555555555,0.26235183084099095,0.2915020342677677
35.0,0.38,14.5,16.11111111111111,0.39003091734733786,0.43336768594148645
37.5,0.0,0.0,0.0,7,7
40.0,0.43,28.7,31.888888888888886,0.6822256911932745,0.758028545770305
45.0,0.45,36.2,40.22222222222222,0.8222628810773915,0.9136254234193238
50.0,0.51,37.7,41.88888888888889,0.7555893065473919,0.8395436739415465
55.0,0.52,37.1,41.22222222222222,0.7292647046104469,0.8102941162338299
60.0,0.52,38.7,43.0,0.7607154735424339,0.8452394150471486
65.0,0.53,39.8,44.22222222222222,0.7675767851608507,0.8528630946231675
70.0,0.55,38.1,42.333333333333336,0.7080711750915056,0.7867457501016729
