G/V degree,Dischargem,Generator power,Mechanical power,Overall Eff,Mech Eff,Head,Predicted_Eff
35.0,0.7911,80.094,88.99333333333333,0.6788221627728875,0.7563052931244545,15.0,0.6788246605763605
35.0,0.8109,94.013,104.4588888888889,0.6889154815367894,0.7675506985118522,17.0,0.6889043120867703
35.0,0.8234,99.9,111.0,0.6827499305477492,0.7606813900187531,18.0,0.6827613009190714
35.0,0.8438,112.432,124.92444444444445,0.6698667413826517,0.7463276686875495,20.0,0.669863271481649
35.0,0.8641,121.945,135.49444444444444,0.6500307058342221,0.7242274788254497,22.0,0.6500315703146292
45.0,0.8844,87.597,97.32999999999998,0.6634805272415597,0.7392125097802379,15.0,0.663478475526959
40.0,0.8624,99.016,110.01777777777778,0.6792738030155272,0.7568084851603495,17.0,0.679279774205813
40.0,0.8756,106.3,118.1111111111111,0.6743597939565726,0.7513335739603856,18.0,0.6743533307324597
37.5,0.8733,115.084,127.8711111111111,0.666211696980224,0.7422554247630596,20.0,0.6662126226475028
55.0,0.9541,86.455,96.0611111111111,0.6040795918116867,0.6730313443058462,15.0,0.6040799335008425
50.0,0.9498,99.403,110.4477777777778,0.6320652264476684,0.7042113569326901,17.0,0.6320659412084629
50.0,0.9704,107.603,119.55888888888887,0.6258531038073142,0.6972901609374876,18.0,0.6258538562715066
45.0,0.9486,119.661,132.95666666666668,0.6409339635177781,0.7140924025986918,20.0,0.6409350113283213
45.0,0.9627,128.077,142.30777777777777,0.627558751907649,0.6991904976637099,22.0,0.627558148896081
70.0,1.0135,75.668,84.07555555555557,0.5031442658202478,0.5605749080004396,15.0,0.5031447798142532
70.0,1.0449,88.619,98.46555555555555,0.505045012244514,0.5626926122540659,17.0,0.5050440791124914
60.0,1.0385,109.681,121.86777777777776,0.5683535765012574,0.633227436944968,19.0,0.5683505695048364
60.0,1.0531,115.59,128.43333333333334,0.5630127254193176,0.6272769624840863,20.0,0.563014338733907
55.0,1.0561,131.397,145.99666666666664,0.5774360837655882,0.6433466532810923,22.0,0.5774360087517022
70.0,1.0789,101.081,112.31222222222222,0.5009652228271863,0.5581471414365633,19.0,0.5009678868303471
70.0,1.0973,108.206,120.22888888888887,0.4982702295623001,0.5551445322364714,20.0,0.49826854313418323
70.0,1.1234,120.787,134.20777777777778,0.4969555925948948,0.5536798380182918,22.0,0.4969558418728069
