features,head,mae
"raw (Q,H,alpha)",15.0,0.012322845726003593
"raw (Q,H,alpha)",16.0,0.005259316506544283
"raw (Q,H,alpha)",17.0,0.003363769604557285
"raw (Q,H,alpha)",18.0,0.0015452711394658117
"raw (Q,H,alpha)",19.0,0.001056921415396027
"raw (Q,H,alpha)",20.0,0.001241311688288153
"raw (Q,H,alpha)",21.0,0.0014853452979945942
"raw (Q,H,alpha)",22.0,0.0035572827887548836
"IEC (Q_ED,n_ED,alpha)",15.0,0.010854309682998288
"IEC (Q_ED,n_ED,alpha)",16.0,0.0068746937266161495
"IEC (Q_ED,n_ED,alpha)",17.0,0.0037629702543765025
"IEC (Q_ED,n_ED,alpha)",18.0,0.001633449298030159
"IEC (Q_ED,n_ED,alpha)",19.0,0.0013910115560586472
"IEC (Q_ED,n_ED,alpha)",20.0,0.0012847101656844823
"IEC (Q_ED,n_ED,alpha)",21.0,0.0012270273570196648
"IEC (Q_ED,n_ED,alpha)",22.0,0.0028321843084096344
"IEC-similarity (Q_ED,alpha)",15.0,0.0563497478769969
"IEC-similarity (Q_ED,alpha)",16.0,0.01219831130382698
"IEC-similarity (Q_ED,alpha)",17.0,0.018969620615342513
"IEC-similarity (Q_ED,alpha)",18.0,0.05316358133326176
"IEC-similarity (Q_ED,alpha)",19.0,0.05392121689838552
"IEC-similarity (Q_ED,alpha)",20.0,0.05017259017739266
"IEC-similarity (Q_ED,alpha)",21.0,0.04412330861373523
"IEC-similarity (Q_ED,alpha)",22.0,0.04535273085624229
