G/V degree,Dischargem,Generator power,Mechanical power,Overall Eff,Mech Eff,Head,Predicted_Eff
70.0,1.0135,75.668,84.07555555555557,0.5031442658202478,0.5605749080004396,15.0,0.5031447239576212
37.5,0.8185,84.545,93.93888888888888,0.6852972340821294,0.7635194516671481,15.0,0.6852977056174492
37.5,0.8862,120.613,134.01444444444445,0.6543843792191241,0.7290780956822801,21.0,0.6543856688587025
55.0,1.0362,125.19,139.1,0.5888509833635102,0.6560644893504501,21.0,0.5888478482583148
50.0,0.976,112.942,125.4911111111111,0.6260841357864709,0.6975475637129122,19.0,0.6260790636803232
50.0,1.0019,126.123,140.13666666666666,0.610850319911464,0.6805749069368167,21.0,0.6108545436264871
35.0,0.8355,107.265,119.18333333333334,0.6769398233909206,0.7542080969571653,19.0,0.6769404823279128
50.0,0.9498,99.403,110.4477777777778,0.6320652264476684,0.7042113569326901,17.0,0.6320696924622905
40.0,0.914,126.881,140.9788888888889,0.6415478290291314,0.714776336861543,22.0,0.641546732360973
60.0,1.0385,109.681,121.86777777777776,0.5683535765012574,0.633227436944968,19.0,0.5683515092825906
70.0,1.0135,82.158,91.28666666666666,0.5136003927095351,0.5722245336986428,16.0,0.5136010342062087
65.0,0.9933,84.913,94.34777777777778,0.5489017231009965,0.611555281122,16.0,0.5489000902845452
70.0,1.0609,94.229,104.69888888888887,0.502492659855525,0.5598489254571793,18.0,0.5024925024140475
35.0,0.8438,112.432,124.92444444444445,0.6698667413826517,0.7463276686875495,20.0,0.6698655212622862
45.0,0.9165,102.681,114.09,0.6591401552984903,0.7343767126382246,17.0,0.659133754291794
40.0,0.8756,106.3,118.1111111111111,0.6743597939565726,0.7513335739603856,18.0,0.6743622457620724
65.0,1.0742,111.5,123.88888888888889,0.5318775955882263,0.5925879602906655,20.0,0.5318804237118814
70.0,1.1113,114.126,126.80666666666669,0.497457497866771,0.554239032509256,21.0,0.49745702675244474
35.0,0.8109,94.013,104.4588888888889,0.6889154815367894,0.7675506985118522,17.0,0.6889149932831934
50.0,0.9704,107.603,119.55888888888887,0.6258531038073142,0.6972901609374876,18.0,0.6258573923211624
