n,seed,surrogate,mae
6,0,plain GP,0.004773367329026669
6,0,physics-informed GP,0.0036465239148621015
6,1,plain GP,0.010795215400925512
6,1,physics-informed GP,0.010137595273910347
6,2,plain GP,0.009957665648123358
6,2,physics-informed GP,0.00880000578067739
6,3,plain GP,0.003815185884505173
6,3,physics-informed GP,0.004839649655042359
6,4,plain GP,0.008003017073575987
6,4,physics-informed GP,0.0067159072840878905
6,5,plain GP,0.007392885949427506
6,5,physics-informed GP,0.006344011728521991
6,6,plain GP,0.005780537834522966
6,6,physics-informed GP,0.004567409729938705
6,7,plain GP,0.004493337909967069
6,7,physics-informed GP,0.004168144036209983
6,8,plain GP,0.005149074982875406
6,8,physics-informed GP,0.004690469298871164
6,9,plain GP,0.009384798174773612
6,9,physics-informed GP,0.008490716415188159
6,10,plain GP,0.012495388129162954
6,10,physics-informed GP,0.011197880955205596
6,11,plain GP,0.00914779486052127
6,11,physics-informed GP,0.009233652233267282
6,12,plain GP,0.004874073881968978
6,12,physics-informed GP,0.004799967271285647
6,13,plain GP,0.005614855501364782
6,13,physics-informed GP,0.004642789671248259
6,14,plain GP,0.005171910245168314
6,14,physics-informed GP,0.004383129292949351
8,0,plain GP,0.003209808999366349
8,0,physics-informed GP,0.0029902642217218603
8,1,plain GP,0.004978320651134171
8,1,physics-informed GP,0.004743867886552236
8,2,plain GP,0.0031711466715102637
8,2,physics-informed GP,0.003077165272501939
8,3,plain GP,0.0037930164793742263
8,3,physics-informed GP,0.004629128683779352
8,4,plain GP,0.005935074189311805
8,4,physics-informed GP,0.00452042919344029
8,5,plain GP,0.004147641087046881
8,5,physics-informed GP,0.0039660328437977985
8,6,plain GP,0.005071651369564572
8,6,physics-informed GP,0.004621972698926365
8,7,plain GP,0.005036737262167275
8,7,physics-informed GP,0.004914333988205821
8,8,plain GP,0.003618177129339867
8,8,physics-informed GP,0.002691516360301719
8,9,plain GP,0.004837547480855495
8,9,physics-informed GP,0.004297925223668873
8,10,plain GP,0.003686641137098762
8,10,physics-informed GP,0.0036544114820415783
8,11,plain GP,0.0037015939121755525
8,11,physics-informed GP,0.003093638045452204
8,12,plain GP,0.004783508308038542
8,12,physics-informed GP,0.004380978824166999
8,13,plain GP,0.0032969193386995954
8,13,physics-informed GP,0.0028491121292677076
8,14,plain GP,0.005245541219070613
8,14,physics-informed GP,0.004877962729235245
10,0,plain GP,0.002748963494493111
10,0,physics-informed GP,0.002631882576210013
10,1,plain GP,0.0024771710564743107
10,1,physics-informed GP,0.0021279875508214805
10,2,plain GP,0.0037149723856139843
10,2,physics-informed GP,0.0032435520760749417
10,3,plain GP,0.0033939397438382843
10,3,physics-informed GP,0.003445526794605442
10,4,plain GP,0.002703077158368298
10,4,physics-informed GP,0.0026549955454489285
10,5,plain GP,0.004070758160099836
10,5,physics-informed GP,0.004244946120737537
10,6,plain GP,0.0027406682518052797
10,6,physics-informed GP,0.0025621685535287533
10,7,plain GP,0.002805798943079086
10,7,physics-informed GP,0.002857746288905821
10,8,plain GP,0.003503140402000932
10,8,physics-informed GP,0.003343304138470741
10,9,plain GP,0.0038524013479307303
10,9,physics-informed GP,0.0033433337617068287
10,10,plain GP,0.002977610839928768
10,10,physics-informed GP,0.002589104726521554
10,11,plain GP,0.0032142523023956154
10,11,physics-informed GP,0.002534807858979366
10,12,plain GP,0.0025417761550770033
10,12,physics-informed GP,0.0026685536700268705
10,13,plain GP,0.0029951251228616475
10,13,physics-informed GP,0.0027733863620946863
10,14,plain GP,0.0029891288145175157
10,14,physics-informed GP,0.003092039875088772
12,0,plain GP,0.002572420589190063
12,0,physics-informed GP,0.0026364879689176274
12,1,plain GP,0.002060442158107242
12,1,physics-informed GP,0.002221374661040753
12,2,plain GP,0.003395255085454572
12,2,physics-informed GP,0.0036436231429969085
12,3,plain GP,0.003233998416669758
12,3,physics-informed GP,0.0027897538318276166
12,4,plain GP,0.0019559479214102354
12,4,physics-informed GP,0.0020994675354655563
12,5,plain GP,0.0018392193695944737
12,5,physics-informed GP,0.0019188205332874699
12,6,plain GP,0.001940329986240411
12,6,physics-informed GP,0.0019332142246315273
12,7,plain GP,0.002235252401998154
12,7,physics-informed GP,0.0021387548095636775
12,8,plain GP,0.002005056370777575
12,8,physics-informed GP,0.002124231768265622
12,9,plain GP,0.0021707208107065285
12,9,physics-informed GP,0.002432711644377563
12,10,plain GP,0.0024225202921416256
12,10,physics-informed GP,0.002033929709770779
12,11,plain GP,0.0017632926633067796
12,11,physics-informed GP,0.001964371436207734
12,12,plain GP,0.0016775531053802384
12,12,physics-informed GP,0.0016956132267144845
12,13,plain GP,0.002487906916522233
12,13,physics-informed GP,0.0024226864514995256
12,14,plain GP,0.0019616506610594226
12,14,physics-informed GP,0.0019267983263244431
14,0,plain GP,0.0017289946019712382
14,0,physics-informed GP,0.0018354104891327469
14,1,plain GP,0.0020985642821068195
14,1,physics-informed GP,0.002070803173477331
14,2,plain GP,0.0017878523668050882
14,2,physics-informed GP,0.0017499166733912195
14,3,plain GP,0.0017487004534467096
14,3,physics-informed GP,0.0018077661440958417
14,4,plain GP,0.002394809387189784
14,4,physics-informed GP,0.002296678905583343
14,5,plain GP,0.0028571534582129163
14,5,physics-informed GP,0.0029743138555253044
14,6,plain GP,0.001901985996011654
14,6,physics-informed GP,0.002039325204512476
14,7,plain GP,0.0019406778940150805
14,7,physics-informed GP,0.0019647944737327585
14,8,plain GP,0.0016204114390434626
14,8,physics-informed GP,0.0017601751488721628
14,9,plain GP,0.0018546052029912094
14,9,physics-informed GP,0.0020585164005408347
14,10,plain GP,0.001543178938283057
14,10,physics-informed GP,0.001727002283782068
14,11,plain GP,0.0017685842094954077
14,11,physics-informed GP,0.0018164262133872737
14,12,plain GP,0.0018158602743518532
14,12,physics-informed GP,0.0019346938556366584
14,13,plain GP,0.0015808414629202433
14,13,physics-informed GP,0.001661241239331459
14,14,plain GP,0.001814715615319277
14,14,physics-informed GP,0.0018350011527431959
16,0,plain GP,0.001812796961299766
16,0,physics-informed GP,0.0019283524837071042
16,1,plain GP,0.002017840644217212
16,1,physics-informed GP,0.0022120522321026842
16,2,plain GP,0.0019121689785059448
16,2,physics-informed GP,0.002064457236585944
16,3,plain GP,0.0017474131327038303
16,3,physics-informed GP,0.0019172085249323744
16,4,plain GP,0.002167944382323311
16,4,physics-informed GP,0.0021389820476424926
16,5,plain GP,0.0014451222965460803
16,5,physics-informed GP,0.0016186552171657497
16,6,plain GP,0.0017877552419895855
16,6,physics-informed GP,0.001841079363588256
16,7,plain GP,0.0018680943029268972
16,7,physics-informed GP,0.0018656457637533938
16,8,plain GP,0.0014855401094573959
16,8,physics-informed GP,0.0014907535029846783
16,9,plain GP,0.0015182666672974075
16,9,physics-informed GP,0.0015317829587134938
16,10,plain GP,0.0018990586805433583
16,10,physics-informed GP,0.0020141758747617955
16,11,plain GP,0.0014153925083954274
16,11,physics-informed GP,0.0014359710780822601
16,12,plain GP,0.001776966623420745
16,12,physics-informed GP,0.001999744367123967
16,13,plain GP,0.0012723342136672104
16,13,physics-informed GP,0.0013499409304468747
16,14,plain GP,0.0015120031656186263
16,14,physics-informed GP,0.0016348446428072544
20,0,plain GP,0.0012955613813951253
20,0,physics-informed GP,0.0014103739544904029
20,1,plain GP,0.0014999967268240141
20,1,physics-informed GP,0.0014889950662672177
20,2,plain GP,0.0017329269738263025
20,2,physics-informed GP,0.0017086448607575222
20,3,plain GP,0.001369241872990693
20,3,physics-informed GP,0.0013637329715642367
20,4,plain GP,0.0011900515135673082
