method,n,seed,mae,rmse,r2,mape,bep_q_err,bep_h_err,bep_eff_err
Random,6,0,0.008194563575864684,0.010437573783111616,0.9710116712165785,1.3878892975283437,0.026800000000000046,1.0,0.009525390788415411
Random,6,1,0.009573115875936134,0.01290333381820406,0.9556975313227443,1.5717717329385594,0.02739999999999998,1.0,0.017164473172726957
Random,6,2,0.017069362535764916,0.027241142522183272,0.8025420162353791,3.105473637150802,0.02739999999999998,1.0,0.010360633400564478
Random,6,3,0.006291238461740152,0.009009745596392523,0.9784002304445442,0.9798044589240659,0.007600000000000051,1.0,0.00841625861427997
Random,6,4,0.01110774006307348,0.01737770647220304,0.9196457270601401,2.0020798183318607,0.02739999999999998,1.0,0.00010362576626687936
Random,6,5,0.004699279001815232,0.00782903001973281,0.9836905251261003,0.8324895201614314,0.02739999999999998,0.0,0.009936147207882495
Random,6,6,0.006665577068756259,0.008613649910860829,0.9802576660274874,1.1218070151542276,0.02739999999999998,1.0,0.0026288525004826147
Random,6,7,0.007124579163846678,0.008728618318997133,0.9797271378213989,1.1602344069989563,0.02739999999999998,0.0,0.0020792477006799093
Random,6,8,0.015733006809526082,0.0259465728446477,0.8208635078320785,2.9161640070297907,0.02739999999999998,0.0,0.0005971055565381356
Random,6,9,0.029408891176200665,0.046067861165713084,0.43529691536739745,5.422799930354491,0.04390000000000005,1.0,0.0157026940958791
Random,6,10,0.02033163503846532,0.032615175657715836,0.716949774571738,3.7072234397579673,0.02739999999999998,1.0,0.00596980624187482
Random,6,11,0.01853611691908906,0.03056985540077505,0.7513371938799454,3.410250192027528,0.007600000000000051,1.0,0.00528564494395245
Random,6,12,0.0065636480630835966,0.010658560770053643,0.9697711801282314,1.1817813854756696,0.007600000000000051,1.0,0.012555132063027274
Random,6,13,0.009668314780708455,0.011600567138383299,0.9641917987930358,1.5881134296710782,0.02739999999999998,1.0,0.00021072484032713668
Random,6,14,0.010021382365637913,0.01433780080215154,0.9452997708016796,1.7629184667468638,0.02739999999999998,1.0,0.0036338057244604816
Random,6,15,0.011521451712502498,0.015185932745002203,0.9386369404003897,2.010202146004039,0.007600000000000051,1.0,0.0016254664231788452
Random,6,16,0.01212123238456106,0.018706618029191838,0.9068860783048404,2.113399991979806,0.018299999999999983,1.0,0.009878062062707027
Random,6,17,0.008656878112255677,0.013381022633176615,0.9523566082024145,1.357329239090398,0.017000000000000015,3.0,0.025202785634022562
Random,6,18,0.021199408507458814,0.03603626355285686,0.6544558297125119,3.9463790886393206,0.018299999999999983,0.0,0.010056609723740118
Random,6,19,0.006657512551873041,0.008872880771266467,0.9790514796566242,1.0916776671081658,0.02739999999999998,1.0,0.01355767041977507
Random,8,0,0.003906915820397258,0.005203062376964465,0.992796523788724,0.6656510942794092,0.02739999999999998,1.0,0.004901132088578564
Random,8,1,0.009727161754478512,0.013279165804311469,0.9530791740442714,1.6827937398632888,0.02739999999999998,1.0,0.021194297956652175
Random,8,2,0.004584247839610354,0.006454644706359972,0.9889141564646456,0.7248348571129518,0.02739999999999998,0.0,0.01720732673318992
Random,8,3,0.002852766270877766,0.0044996278779854985,0.9946126243497575,0.45975262422356283,0.02739999999999998,1.0,0.0030637197048049014
Random,8,4,0.009320512263320039,0.012411274356125017,0.9590119919054219,1.5471573532386707,0.02739999999999998,1.0,0.0029394723451818816
Random,8,5,0.0029841442914233457,0.004664401820505051,0.9942108343877903,0.47484382386283225,0.02739999999999998,1.0,0.004498505116132034
