method,n,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,mape_mean,mape_std,bep_q_err_mean,bep_q_err_std,bep_h_err_mean,bep_h_err_std,bep_eff_err_mean,bep_eff_err_std
ALC,6,0.01176730108662163,0.014279524874138246,0.017184796825817913,0.019786288546644062,0.8224560524382889,0.43565395909732063,2.0936044682902666,2.616459039811318,0.023439999999999996,0.00812574854851439,0.75,0.44426165831931935,0.00837970829874663,0.005183555375315091
ALC,8,0.0041682986054932996,0.0013829641878708603,0.0064349526619074835,0.0025044875726846546,0.9873961253699228,0.012367563113389799,0.6898070110588904,0.25738176914162636,0.026379999999999987,0.00442238325840382,0.85,0.36634754853252316,0.009655585614907047,0.0073798449537470345
ALC,10,0.002834121456301445,0.0005636210981137256,0.004500880499138682,0.0009015861353225421,0.9944041479424686,0.0021149483807512146,0.45768228708405817,0.09526027559654349,0.02442999999999999,0.007253681460943934,0.65,0.48936048492959294,0.006484525416909454,0.003960414348726237
ALC,12,0.0021750910471205567,0.0004741724049632703,0.003535253044796541,0.00088279910071796,0.9964774354681223,0.0017966420024659925,0.34618251079469436,0.0778494634934913,0.023534999999999993,0.00833384191430527,0.5,0.512989176042577,0.007139017095496908,0.0028686193897865223
ALC,14,0.0021043910353838735,0.0004985882353392445,0.0035462564148940083,0.000847986989453894,0.9964719325796487,0.001749951306594505,0.3352862959739743,0.08241826613277503,0.020095000000000002,0.008983638636871707,0.5,0.5129891760425771,0.006876224347339299,0.00395702271938601
ALC,16,0.0018612018387634155,0.0003255898185620255,0.003109460595427435,0.0007043461634619829,0.9973018637239006,0.0013339434236778283,0.29425565002631926,0.050167279272944836,0.022604999999999993,0.009031667969748948,0.25,0.44426165831931924,0.006340502812643189,0.0047682690609921
ALC,20,0.0014866723132400934,0.00018388211680113722,0.002392178590216199,0.0003650606331115493,0.9984436226375589,0.0004896680823647298,0.2364613145179681,0.027647202489427473,0.013629999999999993,0.012433194110504083,0.05,0.22360679774997896,0.0020453824708112855,0.0024133359178680693
ALC,25,0.001326249502131701,0.00016436022452703995,0.002260262953334086,0.00026947501859355717,0.9986222602169578,0.00033161530702630304,0.21020932191622768,0.02559128662617342,0.01903499999999999,0.010389634257277767,0.1,0.30779350562554625,0.0017701745777384925,0.002248282028792105
ALC,30,0.0010974919694514565,0.00011166489549358394,0.0019345637890601508,0.00016633661825820584,0.9989971646517889,0.00016956628187582374,0.17459719308821736,0.01758033212190909,0.015989999999999987,0.012529539832773285,0.0,0.0,0.0013711781063985961,0.002227565680348169
ALM,6,0.007513003392350673,0.0026341924410278874,0.010237906941745156,0.0033760396509313873,0.9692290054361852,0.019885479572980036,1.2583825331448923,0.4475576045597043,0.024674999999999992,0.008119753366749617,1.0,1.3377121081198773,0.010292681275526423,0.005787975844179982
ALM,8,0.0045414401864980695,0.0018850450034655136,0.006591698435250789,0.0026456978212681414,0.9866689705179829,0.015047961404153114,0.743789905685819,0.33668129139098535,0.01697000000000003,0.010526212894233925,0.95,0.22360679774997896,0.012189034098587542,0.005523484245323761
ALM,10,0.0030433930582368525,0.0004922407175572976,0.004684530332100025,0.0006905043885734319,0.9940402361186702,0.0017458204371320852,0.49110459638264786,0.08907860784478408,0.01318000000000003,0.009111623577086905,0.85,0.36634754853252316,0.010906378886587447,0.004423399873056621
ALM,12,0.0023864349408940283,0.0005949105974083942,0.003800905958576428,0.0006368217085888225,0.9960533537897007,0.0014266085139777683,0.37927654350143986,0.10222378188057384,0.01313500000000003,0.008193403958127062,0.75,0.4442616583193193,0.010147802615042773,0.004169111657258718
ALM,14,0.001858100409407983,0.00031970186292558714,0.003104557235063073,0.00046729069973693797,0.9973801799442541,0.0008048375425652942,0.29261906663169923,0.05140583188378179,0.011950000000000021,0.008495044995389006,0.55,0.5104177855340405,0.007764748776993746,0.004835619250452833
ALM,16,0.0016574267254529196,0.00026018726106315194,0.002726137687365364,0.00043445457116051664,0.9979747727252741,0.0006425733913283612,0.2614699039463897,0.04084074997534572,0.013860000000000016,0.006944319905315996,0.5,0.512989176042577,0.006269760549548681,0.003912213141281877
ALM,20,0.0014156046321107236,0.0001366050564085693,0.0022972978227023696,0.00023029244541107298,0.9985822977436103,0.00029693303038375143,0.22448116584692096,0.02163842395288942,0.018964999999999992,0.008108428038970168,0.15,0.36634754853252327,0.0037156903954930045,0.0035522460021347427
ALM,25,0.0011827860316435859,0.0001388840969259708,0.0019238766782948644,0.0001848920689266087,0.9990064894756694,0.00019127152800291,0.18790464267646453,0.022092159261339072,0.02557999999999998,0.00373456120158996,0.0,0.0,0.0014189727964378119,0.001677937130669963
ALM,30,0.0010119026612733979,9.45978022512485e-05,0.001806375927584277,0.00020808580650345627,0.9991208134856844,0.00020575222064321053,0.16004507760213688,0.014732177847984435,0.02375499999999998,0.006878989751409719,0.0,0.0,0.0024378739557566753,0.0027142217798416675
BO-UCB,6,0.01367307718241651,0.007473613147782322,0.021486952614725614,0.012700592121233038,0.8363752559171772,0.17638056015647943,2.459584852529413,1.4273625218174988,0.014305000000000012,0.011563257372065676,0.7,0.8013147091860318,0.010594137223044564,0.006141602555097951
BO-UCB,8,0.01014408651055437,0.0041962463161800264,0.01577121628166816,0.006920784145620323,0.921708176953717,0.06690309936083513,1.8079884864489515,0.7819225578910977,0.009890000000000032,0.00734022084853466,0.7,0.47016234598162726,0.007629261959550815,0.004658692917948301
