metric,n,reference,vs,median_ref,median_vs,p_value,significant
mae,6,ALC,ALM,0.00715588885148314,0.007612736766367189,0.6628885269165039,False
mae,6,ALC,BO-UCB,0.00715588885148314,0.013081148835141956,0.05699348449707031,False
mae,6,ALC,Grid,0.00715588885148314,0.008523856484620663,0.24900436401367188,False
mae,6,ALC,LHS,0.00715588885148314,0.005681938827130236,0.9384536743164062,False
mae,6,ALC,Random,0.00715588885148314,0.009844848573173184,0.048653602600097656,True
mae,8,ALC,ALM,0.003968439196718571,0.003970328793530247,0.3920631408691406,False
mae,8,ALC,BO-UCB,0.003968439196718571,0.009812045628639642,1.9073486328125e-06,True
mae,8,ALC,Grid,0.003968439196718571,0.004236904380151694,0.1649913787841797,False
mae,8,ALC,LHS,0.003968439196718571,0.0044639265652162835,0.20454883575439453,False
mae,8,ALC,Random,0.003968439196718571,0.004786263144626109,0.0107421875,True
mae,10,ALC,ALM,0.0028985036560424332,0.0029833698594347044,0.18413829803466797,False
mae,10,ALC,BO-UCB,0.0028985036560424332,0.012352286103957447,9.5367431640625e-07,True
mae,10,ALC,Grid,0.0028985036560424332,0.0034069240048611796,0.0006046295166015625,True
mae,10,ALC,LHS,0.0028985036560424332,0.0032708669541206886,0.0008449554443359375,True
mae,10,ALC,Random,0.0028985036560424332,0.004257989023784889,1.811981201171875e-05,True
mae,12,ALC,ALM,0.0020508245420355715,0.002256916136855353,0.09467411041259766,False
mae,12,ALC,BO-UCB,0.0020508245420355715,0.008969203149293715,9.5367431640625e-07,True
mae,12,ALC,Grid,0.0020508245420355715,0.0028978669655815538,0.00013065338134765625,True
mae,12,ALC,LHS,0.0020508245420355715,0.0026590715327540256,0.0085906982421875,True
mae,12,ALC,Random,0.0020508245420355715,0.0038459458336122443,1.33514404296875e-05,True
mae,14,ALC,ALM,0.0020006695184790852,0.0017819932773171588,0.9757795333862305,False
mae,14,ALC,BO-UCB,0.0020006695184790852,0.008036042504093502,9.5367431640625e-07,True
mae,14,ALC,Grid,0.0020006695184790852,0.0022050173670525456,0.05269908905029297,False
mae,14,ALC,LHS,0.0020006695184790852,0.00269333898757092,0.006039619445800781,True
mae,14,ALC,Random,0.0020006695184790852,0.003275537021254718,0.00019741058349609375,True
mae,16,ALC,ALM,0.001767287137044258,0.001718260695775757,0.9551525115966797,False
mae,16,ALC,BO-UCB,0.001767287137044258,0.00894383743692798,9.5367431640625e-07,True
mae,16,ALC,Grid,0.001767287137044258,0.0021412051763782395,0.0009927749633789062,True
mae,16,ALC,LHS,0.001767287137044258,0.002150940630316839,0.005344390869140625,True
mae,16,ALC,Random,0.001767287137044258,0.0023403379983101204,0.00013065338134765625,True
mae,20,ALC,ALM,0.0015111623137437974,0.001378770971210956,0.9231767654418945,False
mae,20,ALC,BO-UCB,0.0015111623137437974,0.007151825403763244,9.5367431640625e-07,True
mae,20,ALC,Grid,0.0015111623137437974,0.0018751013898357163,9.5367431640625e-07,True
mae,20,ALC,LHS,0.0015111623137437974,0.002013058153971256,1.33514404296875e-05,True
mae,20,ALC,Random,0.0015111623137437974,0.0023604398450639188,4.76837158203125e-06,True
mae,25,ALC,ALM,0.0013122544840987712,0.0011728293566267787,0.9836158752441406,False
mae,25,ALC,BO-UCB,0.0013122544840987712,0.006408763107548872,9.5367431640625e-07,True
mae,25,ALC,Grid,0.0013122544840987712,0.0016418141722915251,1.9073486328125e-06,True
mae,25,ALC,LHS,0.0013122544840987712,0.0019440261932868485,2.384185791015625e-05,True
mae,25,ALC,Random,0.0013122544840987712,0.0019901403809105896,0.00013065338134765625,True
mae,30,ALC,ALM,0.00109300650963776,0.0009989742852155809,0.9992837905883789,False
mae,30,ALC,BO-UCB,0.00109300650963776,0.006506730342073428,9.5367431640625e-07,True
mae,30,ALC,Grid,0.00109300650963776,0.0013417983675837312,6.67572021484375e-05,True
mae,30,ALC,LHS,0.00109300650963776,0.0019099081287644523,1.9073486328125e-06,True
mae,30,ALC,Random,0.00109300650963776,0.0015710477769435853,2.86102294921875e-06,True
