metric,n,reference,vs,median_ref,median_vs,p_value,significant
mae,12,ALC,ALM,0.0020888849536501762,0.0022569161653236145,0.1649913787841797,False
mae,12,ALC,BO-UCB,0.0020888849536501762,0.008969204169866315,9.5367431640625e-07,True
mae,12,ALC,Grid,0.0020888849536501762,0.0028978669948318647,0.00013065338134765625,True
mae,12,ALC,LHS,0.0020888849536501762,0.00265907153160578,0.009616851806640625,True
mae,12,ALC,Random,0.0020888849536501762,0.0038459458336122443,3.147125244140625e-05,True
mae,12,ALM,ALC,0.0022569161653236145,0.0020888849536501762,0.8441028594970703,False
mae,12,ALM,BO-UCB,0.0022569161653236145,0.008969204169866315,9.5367431640625e-07,True
mae,12,ALM,Grid,0.0022569161653236145,0.0028978669948318647,0.0009927749633789062,True
mae,12,ALM,LHS,0.0022569161653236145,0.00265907153160578,0.04484748840332031,True
mae,12,ALM,Random,0.0022569161653236145,0.0038459458336122443,8.392333984375e-05,True
bep_eff_err,12,BO-UCB,ALC,0.0005979588803833868,0.0070869851855229204,9.5367431640625e-07,True
bep_eff_err,12,BO-UCB,ALM,0.0005979588803833868,0.011588679473488517,9.5367431640625e-07,True
bep_eff_err,12,BO-UCB,Grid,0.0005979588803833868,0.012431274755708488,9.5367431640625e-07,True
bep_eff_err,12,BO-UCB,LHS,0.0005979588803833868,0.0076417306706064725,4.76837158203125e-06,True
bep_eff_err,12,BO-UCB,Random,0.0005979588803833868,0.008666501289360362,9.5367431640625e-07,True
